,Unnamed: 0,cbsa10,ADHD_Count,Mental Health Provider,Real_Obese_Count,Real_PhysInact_Count,Population_Real,Population_Female,Population_Male,Food_Insecure_Real,Limit_Healthy_Food_Real,Food_Environment_Index,Access_To_Exercises,College_Education,Uninsured,Unemployment,Children_Poverty,Income Inequality,Single_Parent_Households,Uninsured_Children,Uninsured_Adults,FFR16,FSR16,SAMI_FFR,SAMI_FSR,SAMI_FI,SAMI_FI_CHILD,SAMI_PHYSINACT_REAL,SAMI_ADHD,SAMI_FI_REAL,SAMI_LIMIT_FOOD,SAMI_OBESITY_REAL,SAMI_MHP,SAMI_CHILD_POVERTY,SAMI_SINGLE_PARENT,SAMI_ACCESS_EXERCISES,SAMI_UNINSURANCE,SAMI_UNEMPLOYMENT,SAMI_UNINSURED_CHILDREN,SAMI_UNINSURED_ADULTS,SAMI_FEMALE,SAMI_MALE,SAMI_COLLEGE_EDUCATION
557,557,C3398,11401.1044,69.0,19229.954,20324.898,68434.0,34597.0,33837.0,9990.0,4635.5849291,7.2,58627.0,9956.0,10839.0,2405.0,3014.0,89126.0,4958.0,1132.0,9824.0,62,104,0.297562653010333,0.7471069933096874,-0.0043339342395878,-0.3865962213491043,0.1605357244930498,0.1975572910743572,-0.0043339342395878,0.0465000735521901,-0.064468281919213,-0.0768088333384584,-0.1560375720985156,-0.0222331061333065,0.2261165209619573,0.1767030892605952,0.0471954363093978,-0.0053137136443037,0.2044734200133326,0.0084196308481612,-0.0073042059988814,0.088327338193201
558,558,C3402,10167.8157,34.0,20721.141,17615.647,53543.0,27038.0,26505.0,8670.0,5898.6695912,6.5,35687.0,5064.0,10807.0,1536.0,3845.0,82683.0,6334.0,883.0,10015.0,37,34,0.0359439653097743,-0.1253613894346807,0.0984843826947337,0.4009774652181637,0.2508555385255544,0.3245211160582961,0.0984843826947337,0.5208616571995108,0.2487756791067052,-0.4978524006131613,0.3279394037638123,0.4713583122327414,-0.0082705464187,0.4176220916922428,-0.1510213729086231,-0.0157383295784878,0.4686538561666893,0.0087875118050515,-0.0075559183316791,-0.3237594670439989
559,559,C3406,21984.5331,190.0,39871.635,36465.522,136133.0,66052.0,70081.0,19440.0,11392.6647544,7.300000000000001,86247.0,22909.0,20378.0,3009.0,4253.0,177228.0,5455.0,1063.0,19451.0,115,123,0.2017754757179819,0.2266409872042567,-0.0239642748866444,-0.5186306004943564,0.0909434949627066,0.1774612326713054,-0.0239642748866444,0.2915434890207926,-0.0039028109581007,0.1325411829565679,-0.4856728476314966,-0.6236507950687482,-0.1222564392784093,0.1244751820900731,-0.4298694608279199,-0.7352453721539636,0.201069877898929,-0.0368910270094211,0.0369958331787305,0.181935300960184
560,560,C3410,16028.2408,113.0,33338.369,37943.617,115197.0,58786.0,56411.0,17370.0,8136.3847883,7.1,72909.0,13073.0,17282.0,4846.0,7070.0,153536.0,8298.0,1640.0,15802.0,89,64,0.118738022022339,-0.259550997103541,0.0298573082593058,0.01637464765422436,0.2894960627375535,0.025783004886172,0.0298573082593058,0.1137506262949905,-0.0205156377248076,-0.1919889971811184,0.1862081155307944,-0.0349500596242204,-0.1119491468143571,0.1256465084447633,0.2169088658269995,-0.1396868351245883,0.159983603138869,0.0145844830350228,-0.013965954186041,-0.1994351788711803
561,561,C3414,4112.424,48.0,10128.748,6016.3240000000005,38078.0,18548.0,19530.0,6810.0,1696.9370981,6.7,29561.0,7086.0,4706.0,994.0,1058.0,83655.0,1330.0,568.0,4217.0,30,25,0.1798691188281282,-0.091751453293146,0.1966745945911956,-0.6007966914426213,-0.499283673990627,-0.2453153890862367,0.1966745945911956,-0.4008430460295527,-0.1356343571842586,0.2452282789655027,-0.6284301474815432,-0.7439941658953293,0.1673568125273163,-0.0749814160821262,-0.2387515044950339,-0.1263632472737326,-0.0560965317152106,-0.0251523365210779,0.025945415564724,0.3788159606820809
562,562,C3418,6927.6012,125.0,30687.252,25082.694,91878.0,45300.0,46578.0,13150.0,7852.3988983,7.0,52196.0,9944.0,17591.0,3670.0,6734.0,84166.0,8039.0,2060.0,15726.0,50,58,-0.2232011396517381,-0.1316455630805206,-0.0230674431813149,0.4813606160936139,0.0906887078106084,-0.5905033986675239,-0.0230674431813149,0.2933563689577578,0.116512938349313,0.173203400290995,0.3591703037127036,0.1625429507141547,-0.2046381233755276,0.3681595678938461,0.169522730778926,0.3076902974409803,0.3809206964192597,-0.0184411769429857,0.0193760835229532,-0.2297369888321245
563,563,C3422,9801.045,12.0,14854.275,14067.6,46275.0,23325.0,22950.0,8180.0,3722.7166428,6.4,28845.0,4870.0,10826.0,1797.0,4573.0,71078.0,5654.0,1487.0,9469.0,29,19,-0.0563176569962666,-0.5612943271493318,0.1856852713795298,0.2674281274743304,0.1646879443376487,0.4313247207615251,0.1856852713795298,0.1993450112248904,0.0577339592534542,-1.3688593517877368,0.6442974983315732,0.5056211541485727,-0.0653462592025686,0.5643647439844592,0.154632683976315,0.6469402705312053,0.5582030069256785,0.0078490275005886,-0.0065293564465367,-0.2059125500475005
564,564,C3426,7978.4236,100.0,12000.401000000002,12205.186000000002,40957.0,21275.0,19682.0,6770.0,2248.9304333,7.0,32612.0,4604.0,5856.0,1332.0,1946.0,67610.0,2360.0,505.0,5414.0,31,33,0.137036354534441,0.1129415767179922,0.118150161484051,-0.11064847206336026,0.1387808336895304,0.3456964887106064,0.118150161484051,-0.1885386339960089,-0.036930527449595,0.8940389040332875,-0.0904611788339995,-0.2443709553456026,0.1877534820795521,0.0712092476357941,-0.0203537655816319,-0.3146162806013599,0.1210182302983415,0.0386847432649783,-0.0387675899677777,-0.130774630894134
565,565,C3430,2619.617,21.0,7693.98,6647.18,26170.0,12525.0,13645.0,4240.0,3358.6878214,6.4,24333.0,3898.0,4541.0,766.0,1562.0,79040.0,1533.0,672.0,3931.0,12,17,-0.3473182394087666,-0.1021200188360564,0.0965687542937221,-0.03796404300736356,-0.0428929754481561,-0.32729549615535,0.0965687542937221,0.6385847009328849,-0.045983212548343,-0.1432812184537701,0.1286706145060945,-0.2219149781068194,0.3731838791649728,0.2620442464026862,-0.1169985139835452,0.4054974719507118,0.2479934898266194,-0.0404617379918246,0.0402273400551891,0.1845273067554558
566,566,C3434,9452.67,70.0,22864.65,22353.3,73050.0,37358.0,35692.0,11690.0,2485.8697039,7.3,42179.0,9049.0,13279.0,2785.0,4987.0,74062.0,5047.0,1575.0,11840.0,58,70,0.1631461628266084,0.2858898161550156,0.0877671512317643,0.030768195275195254,0.1935823291532781,-0.0540824992475883,0.0877671512317643,-0.6387253050848791,0.0451960283937307,-0.1386853080545664,0.2835614542524265,-0.0705876546939325,-0.1728563178819708,0.3148632436571557,0.1273510496799401,0.2616478875630283,0.3259766460581499,0.0195245375903212,-0.0188304866049016,-0.077401857987537
